File Path,API_Group_1,API_Group_2,API_Group_3,API_Group_4,API_Group_5,API_Group_6,API_Group_7,API_Group_8,API_Group_9,API_Group_11,API_Group_12,API_Group_13,API_Group_14,API_Group_15,API_Group_16,API_Group_17,API_Group_18,API_Group_19,API_Group_20,Label
/content/drive/MyDrive/y/ransomware/079B4E6C258D44C170536AD4936D6727D2962AFB9897764A94E328024A41F7A5,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/191F246774011F2C3FCAB29D8253884ECDD28B6D5F7F9013CC166CFF71DCA06E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0858DAAEBFB62AA8110D22A8963B36ADAE77506AFBBCF419E5B473139ADF991F,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/230C8A19AFD7910DEE4FABFC050A57823F89B58ED2017828DF7E5A4B6EE03A9A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/02E816933D2F333FB9DB44AC16F56A1574DCE5D0926D31444F23E5A09693A22C,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/001307C5C88E437C53840B5497565059838A174D75F85C2F09E6A39F2C9FAC74,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/63AB14D2F3AF398E5480104CDD05E3FE880E75A3F949A86EAFD7C841384B8472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/598704F80DA9E836C8E6CB0242599DC7315A32E9C5309810F0B65BFCEB454148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/3C0360ACD0CE74CB44B8FB9BD2C8FCFAC81A980AE108B2477D5FBDC17786CBC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0459C0755D3B7F4F8573CBEEDD6730D03D1A5EB5F5255960E2C20775503F9A2E,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/01DE1B279CE4AB56A10917A799FB7792037757E81C2B29987A9B286623671266,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/30472F8D4EADEC4652DC4F628D05C21F79185C877E273E073AC5F27225387A42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/015C3A0D0B1B8C3AE2D86D362DDB1B798200873362C0B43AFA3E847AC1E9FE5F,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/0261A9B5133EF0DFC9473BDE4469171B13D198A6CF2CDA00C36A273171A0C720,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
/content/drive/MyDrive/y/ransomware/7462A5B53F5D83E4D4C6B150E9D854196C8672EA73FDF737D99A07891A0E82B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/1EB12DB98C651982C4D64D5AF4C387C78C5C88B94602A1CE7940EFE054C42DFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
