File Path,API/DLL_1,API/DLL_2,API/DLL_3,API/DLL_4,API/DLL_5,API/DLL_6,API/DLL_7,API/DLL_8,API/DLL_9,API/DLL_10,API/DLL_11,API/DLL_12,API/DLL_13,API/DLL_14,API/DLL_15,API/DLL_16,API/DLL_17,API/DLL_18,API/DLL_19,API/DLL_20,API/DLL_21,API/DLL_22,Label
/content/drive/MyDrive/y/ransomware/004E45FA3E1010210A08DD2F2381180637601413AA697298FB61211932839B19,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,4,1
/content/drive/MyDrive/y/ransomware/124E33009FC91C9964F5C44E4DC42EF7AE787BBB375305B95CBD7EE8014F080C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0674EFB5A214905DC9B753C389C37D764BC6CA1CE81151A414F741C1453EEFC1,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,4,1
/content/drive/MyDrive/y/ransomware/0B6B07D720A30B9F5DA473FE1D80C2AA4B4E311E3DEDA5D85E8FD820A23BB133,3,0,4,0,4,3,2,1,1,0,1,2,0,1,3,0,2,1,0,9,2,5,1
/content/drive/MyDrive/y/ransomware/029DFB487194BD85A50179FEE4A691E2724C41A13952E2D9AEE790F19860B4AE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/2440358B1C460893302F0AC4DC07AB2780D390CC00D31864EA5ABEEADC3C6C88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/4427574E5D25C158C466E00AD3F54D28B237B33D036CBFE397C78FEC81EA9C05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/12711BFAE414BA788BF572CAF564E98671AC088FC9265ACD833C4D5DF854DB43,2,0,0,0,2,3,1,2,0,0,10,2,1,1,3,1,3,0,0,12,1,3,1
/content/drive/MyDrive/y/ransomware/0D683D2E4FA69E5A5780FFCEC285131DF7D3467D0F5483AD7D1E918160817886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0820747A31CF7F74053CB69B70635805EE3CD4E538AC6C6B4EC85CF07B1363F5,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/5AA810E4891538670CC0DB6274B7276ABE84E8CCBBAEF1D3B1208B9AD419A9FA,4,3,0,5,3,3,2,4,6,5,11,5,2,2,4,1,3,1,3,19,2,5,1
/content/drive/MyDrive/y/ransomware/3C61A15CE8A583A4B243E8D05D1E4BDA053E0CFD44A97D2BB05A44F73DCE80E0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/8B9BDC5CF5534D377A6201D1803A5AA0915B93C9DF524307118FD61F361BDBA2,4,3,0,5,3,3,2,4,6,5,11,5,2,2,4,1,3,1,3,19,2,5,1
/content/drive/MyDrive/y/ransomware/3AD976499DB94303E8C1BB6B5B57AC4F06B317091BCA3C8BE521968C115FB148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0892AD7855E5A419B45EC3AC924933AE4E8C2383E929780EA37F1BBA54721CAC,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/1A123627AF5ECD664CEE0E3EABAA9CA2A75EE94F9E244763265A695D96C1DEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/4BAB17D5107F6A2F6D26BC32E2825F391A47BFC05A7C26DD3710677751946FB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/19C2999C5BF0693CD61A6D11B9964D6A9322B8C4E9CB23EC698481B4E7CD997A,2,0,0,0,2,3,1,2,0,0,10,2,1,1,3,1,3,0,0,12,1,3,1
/content/drive/MyDrive/y/ransomware/B6A74C64437B815016248EDC661C7BCF21B190738D936F4C6CE57333FF0E6FAD,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,3,1
/content/drive/MyDrive/y/ransomware/13A69160603C9286148B72A4BA2EDB05CB618DA4203BC8AF224A6E245D8A115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/14412B997BC8C9BA52304AB67C3FEB8B9D8F689B468BE42DEF4A66BF0B6CE550,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/03B6B57A30CECBA9F2ED402E5F5CEB44859C6EE009060F52FAA0A96E09B89606,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/21777C343FAFC76C3E1894C2C7EBECB019A7EC9EC2193B6FD05A84CE0C3D1E38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0157B50551E2ADA21FE1327291E92857E24C19B17B9D568FE71BDAA50987A4C8,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/23BC5FA1353C22F5C5DC45AFCF7F4287E8C6B988033140A8BA9FA88BB2658865,2,0,5,0,2,3,0,2,0,0,10,2,1,1,3,1,3,0,0,12,0,2,1
/content/drive/MyDrive/y/ransomware/16DB4B8860524B3D67FD5CC15914E310B3891A8DACDB5D77CF0598B0C09BE324,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/4B470D2899CD3D62CEDE60698708F115B03B1962D951A562BB8E37C2EC2C5AAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0071CD48F25C4DD074E69B12F7988348A45A4B509F78C02E58FB948C519374A5,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/11212B65E8EA2C4BB1FCBC2727BCA8759337DBF2F13CD0EBB0C2AACDA029E414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/020C7A94899460D6135761A5290E8D5E4CD83325D98692129AAA30201BA09A0C,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/1328DD556749D061CD4468BF907591FDE215C7B6F1755BBA566D9C335E479EFB,2,0,5,0,2,3,0,2,0,0,10,2,1,1,3,1,3,0,0,12,0,2,1
/content/drive/MyDrive/y/ransomware/2A1A60738D732C57F34251F9AD6081B6576210E8B44F420F78E1ADFD2F7D2B24,3,0,0,0,4,3,0,1,0,0,10,2,1,1,3,1,3,0,0,12,1,3,1
/content/drive/MyDrive/y/ransomware/26AF2AD689F93F53877C25BE6C99576F3BE53B92007170E6931C8C30B9EC97B4,3,0,4,0,4,3,2,1,1,0,1,2,0,1,3,0,2,1,0,9,2,5,1
/content/drive/MyDrive/y/ransomware/0605F7D6DA90D088534638720B6E4B168545ACEAE6976280E40D911ABBA19038,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/2C7D8A1F768845CDCD98CCADB768444ED2230B914FBE19A45C09A9BD1A96CC14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/3A2A14CA027CB461FC205A032EAC484B94C80AE4E7F99FA6969568C01F5DEC59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/06B104F164B7A2163AF14E8278AC4EEC3DE1871EABAC7476C407978F29A8759B,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/37CA7A3B52D6CB9D9EBB9319C5F28F7B1E0EBB338BF732ACE170684EB193B10E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/2C95505A39CDA3AD219390A759FA946F8848EAEB3DF234072CC80F498112371D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/2F503EBB70A69651E05264F28B917ADD4E00E481128A409956ABCDA8D3B85DF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0AAFC4D839009503B26618090936FEBDB25075AE353F7BF999DC70E0B4A71C37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/21ACD48A82D4A0E9D377930220E384BC256EAAAF9457A45553636C9F63AE6731,4,3,0,5,3,3,2,4,6,5,11,5,2,2,4,1,3,1,3,19,2,5,1
/content/drive/MyDrive/y/ransomware/A7D02E61C08446D7E214B693C55A8056AF51BD8E444A39C515AE85DCDE0BE222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
/content/drive/MyDrive/y/ransomware/68B98D55958A9816BF64AE8C61A8ED7A73A5C9A7EEB095AB4508DE89D9DF1A83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0170A03993F627476ED5C3564DD5372C97B6E81F9BC582DC6DA5F00474171E8C,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/1FCE9280AB4A53F3B9387062E46744F24E374A2B9ACD7DD7837E1AEE7C44BE35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/03BA83C3672230D1326E86E0D0B7438E27EEB37A5F549DB9C996FDA7E7219477,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,4,1
