File Path,API/DLL_1,API/DLL_2,API/DLL_3,API/DLL_4,API/DLL_5,API/DLL_6,API/DLL_7,API/DLL_8,API/DLL_9,API/DLL_10,API/DLL_11,API/DLL_12,API/DLL_13,API/DLL_14,API/DLL_15,API/DLL_16,API/DLL_17,API/DLL_18,API/DLL_19,API/DLL_20,API/DLL_21,API/DLL_22,API/DLL_23,API/DLL_24,API/DLL_25,API/DLL_26,API/DLL_27,API/DLL_28,API/DLL_29,Label
/content/drive/MyDrive/y/ransomware/21777C343FAFC76C3E1894C2C7EBECB019A7EC9EC2193B6FD05A84CE0C3D1E38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/1A123627AF5ECD664CEE0E3EABAA9CA2A75EE94F9E244763265A695D96C1DEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/13CB54C212154DAD6AAD05C4950C32DD2F1F3ACE33089BB0650921D26A512047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/5912E3AB02AEB1EF0D7D6E9D36866EC8CA1410B4A97BD2255CE0C0EA07D016D8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0452FDCF892F6021A0D7108DAC5C1E384DA4F956C31B5A939D831D116827925D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/05685B5E9E5E9EE61A7D46617ACCF9553B43C53074F097F3AA6ED345DF105C95,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/0736C76735CDF8FA5973A8FF9E50F0778756F7DCF5092E4C6937BB79AA33EA32,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/1870181E19D9817A117D977C878A06F6410D6399F7C6FEA52206E0EAE56EA525,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/43F5ECF42B4E34B9E1FC92E01AFE514F7DDDAE6CF40C2B6FC4FEDC59B0B32374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/03FD9CB1255B63C460AF94C0181E5C8DADBC3C80F91DFFD48E1DD4C5E53CADF8,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/2CF6AA03B942D5C8B6F34375D1FF5BC5BD6DA3D6811175615ADCEC5F07F57B9F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/51CF645ECB608A4711F12A1CDA266D7A27F783182A6B8638A3EBD6ED467E5D57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/006316C3D4FEF5E805B1D631A8E5DBE999233BE870379379F361F51E81EBC620,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/052DE30AF452F288A66EEA584F0B06813ED6E51E26BE9139B7D84758979D33AF,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/05357F419AC716B4DF8F11F3935EEE7E8565BC1AD7E7A4F48D2B617D9858948C,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/11212B65E8EA2C4BB1FCBC2727BCA8759337DBF2F13CD0EBB0C2AACDA029E414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/01071B4B5C6D681A314AA46DA136AE1D14B0A5D97B345E82960432ED8BAEEBBA,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/F325804AB5ABC4D08F2D755A0B057E3F39B11F462375AD93FCD800E572D832B7,4,2,3,0,5,3,3,2,4,1,6,4,2,5,11,5,2,2,4,1,1,1,1,3,7,2,0,0,0,1
/content/drive/MyDrive/y/ransomware/070EAB5E8A6917BD3E16A08C3EC4730020A3AA0EEFFF4A5E16B35CD0AA0B4A82,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/0B6B07D720A30B9F5DA473FE1D80C2AA4B4E311E3DEDA5D85E8FD820A23BB133,3,0,0,4,0,4,3,2,1,1,1,3,0,0,1,2,0,1,3,0,0,0,1,2,2,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/02B380339D07A2D1470AB7224340D37C582F9658598F00C8149D97E811D1955C,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/07BF338023CEF702CC6B76F59F6EFBC572C3D858779AF002FEA0E44110EBC699,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/0609CA4E39AEBFF9584E356B50C70F25C19B3ADA90C6E8C759AAEAEB3452511F,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/03BF09B9B4E60210F4AB657CB7F2E0F036C7C3A2FA4A35D0C371B7826830E43F,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/191EE95845B83C1640F8A9BFC1E66672C8A703FB61BC1B898B08A8C3F8199CAA,2,0,0,0,0,2,3,1,2,1,0,6,0,0,10,2,1,1,3,0,1,1,1,3,1,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/4ECBE3993C60E41CDE6BF23FCFFE01D8300C787859C1DE1F58AEECEFEF9C7D08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/079D1256518FC640D92CB970472E24047B9CCF4C8F1159B1EEF3570A79D4DE75,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/419F1DF6D206A5D0A054ABBF0C61A6B5D71415AFA52DAB32AD4597E824E67124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/01C720A9C6BADF940A04E5949CE298FAF2FD4F468E9067F911E6A94CD33F2951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
